pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
B CELL RECEPTOR SIGNALING PATHWAY%GOBP%GO:0050853	7.508071176514749e-05	0.0036288108430033703	0.8399194693608779	3.84164803530577	0	46	CD79A|CD79B|IGHV1OR15-1|LCK|CD19|PTPRC|IGHV1-69-2|BLK|IGHV5-51|IGHV1-18|CD38|IGHV3-74|IGHV3-49|BTK|IGHV1-24|ITK|IGHG4|CTLA4|IGHV4-61|IGHG1|PLCG2|IGHV4-4|IGHV3-73|IGHV3-43|NCKAP1L|IGHV3-21|IGHG2|LAT2|IGHV2-26|BAX|VAV3|SYK|IGLL5|IGHV3-15|PIK3CD|IGHA1|PRKCB|LIME1|IGHV1-3|MNDA
COMPLEMENT ACTIVATION, CLASSICAL PATHWAY%GOBP%GO:0006958	7.95671546785487e-05	0.0036288108430033703	0.818695201942976	3.33407590908247	0	29	IGHV1OR15-1|IGHV1-69-2|IGHV5-51|IGHV1-18|IGHV3-74|IGHV3-49|IGHV1-24|IGHG4|IGKV3-11|IGHV4-61|IGHG1|IGHV4-4|IGHV3-73|IGHV3-43|IGKV2-28|IGHV3-21|IGHG2|IGKV4-1|IGHV2-26|IGLL5|IGHV3-15|IGHA1|IGKV2D-28|IGHV1-3
PHAGOCYTOSIS, RECOGNITION%GOBP%GO:0006910	8.03600128576021e-05	0.0036288108430033703	0.830334506435955	3.2887624632695496	0	26	IGHV1OR15-1|IGHV1-69-2|IGHV5-51|IGHV1-18|IGHV3-74|IGHV3-49|IGHV1-24|IGHG4|IGHV4-61|IGHG1|IGHV4-4|IGHV3-73|IGHV3-43|IGHV3-21|IGHG2|IGHV2-26|IGLL5|IGHV3-15|FCN1|IGHA1|IGHV1-3
HALLMARK_E2F_TARGETS%MSIGDB_C2%HALLMARK_E2F_TARGETS	6.73990698928355e-05	0.0036288108430033703	0.5587532780957	3.2364246050012704	0	200	EZH2|CDKN3|LSM8|PSMC3IP|ASF1B|KIF18B|RPA2|BRCA1|EXOSC8|MKI67|TK1|TOP2A|BIRC5|POLA2|CDKN2C|NASP|CDCA8|HELLS|RAD51AP1|RAD51C|E2F8|SMC4|TCF19|RRM2|TACC3|DLGAP5|MXD3|MCM5|CENPM|AURKA|ESPL1|DEPDC1|HMGB2|ATAD2|CDC20|CDC25B|NOP56|TMPO|WEE1|AURKB|KIF2C|MYBL2|SRSF1|LMNB1|KIF22|PPM1D|CDK1|POLD1|DNMT1|PLK4|TIMELESS|SPAG5|RACGAP1|PNN|MMS22L|MCM6|BUB1B|SRSF2|HMMR|PCNA|MCM2|CTPS1|ORC6|CDC25A|LIG1|KIF4A|SPC25|USP1|CTCF|KPNA2|CCNB2|GINS1|MCM7|ING3|PLK1|DIAPH3|PTTG1|STMN1|NUP205|LUC7L3|MELK|SUV39H1|SHMT1|MAD2L1|RNASEH2A|RFC3|CENPE|SPC24|TUBG1|CDCA3|BRCA2|DONSON|POLE|PPP1R8|RFC2|H2AFZ|HMGB3|MCM3|NCAPD2|MSH2|PSIP1|SMC3|DEK|LBR|DDX39A|SMC1A|UBE2T|UBE2S|DSCC1|RANBP1|H2AFX|CIT|XPO1|NUP107|POLD2|POP7|HN1|RQCD1|ORC2|CDKN1B|SMC6|STAG1|HNRNPD|UBR7|CHEK2|GINS3|TIPIN|MCM4|PAN2|PHF5A|AK2|RPA3|DUT
POSITIVE REGULATION OF B CELL ACTIVATION%GOBP%GO:0050871	7.327617791455999e-05	0.0036288108430033703	0.662490308283276	3.20257705266868	0	59	IGHV1OR15-1|CD27|FCRL3|SASH3|PTPRC|IGHV1-69-2|IGHV5-51|IGHV1-18|CD38|IGHV3-74|IGHV3-49|BTK|IGHV1-24|IGHG4|IGHV4-61|IGHG1|IGHV4-4|IGHV3-73|IL7|IGHV3-43|NCKAP1L|IGHV3-21|IGHG2|IGHV2-26|VAV3|SYK|IGLL5|IGHV3-15|TNFSF13B|TNFRSF4|PAXIP1|IGHA1
ANTIGEN RECEPTOR-MEDIATED SIGNALING PATHWAY%GOBP%GO:0050851	6.86954729683314e-05	0.0036288108430033703	0.575481128877329	3.1840883315901296	0	133	CD79A|CD79B|IGHV1OR15-1|LCK|GRAP2|CD3D|CD19|CD3E|ZAP70|TRAT1|CD3G|PTPRC|CD247|CARD11|IGHV1-69-2|SLA2|BLK|IGHV5-51|FYB|PTPN22|IGHV1-18|CD38|IGHV3-74|SKAP1|WAS|LAT|TXK|IGHV3-49|BTK|IGHV1-24|ITK|IGHG4|HLA-DQB2|CTLA4|IGHV4-61|IGHG1|PLCG2|IGHV4-4|IGHV3-73|IGHV3-43|NCKAP1L|IGHV3-21|IGHG2|LAT2|CSK|PRKCQ|IGHV2-26|BAX|VAV3|SYK|IGLL5|LCP2|IGHV3-15|CD4|INPP5D|PIK3CD|BTN2A2|IGHA1|PRKCB|GATA3|LIME1|NFKBID|BTNL9|HLA-DQA2|IGHV1-3
HUMORAL IMMUNE RESPONSE MEDIATED BY CIRCULATING IMMUNOGLOBULIN%GOBP%GO:0002455	7.848677497841608e-05	0.0036288108430033703	0.7594166454903599	3.1726430990409304	0	32	IGHV1OR15-1|IGHV1-69-2|IGHV5-51|IGHV1-18|IGHV3-74|IGHV3-49|IGHV1-24|IGHG4|IGKV3-11|IGHV4-61|IGHG1|IGHV4-4|IGHV3-73|IGHV3-43|IGKV2-28|IGHV3-21|IGHG2|IGKV4-1|IGHV2-26|IGLL5|IGHV3-15|IGHA1|IGKV2D-28|IGHV1-3
ADAPTIVE IMMUNE RESPONSE%GOBP%GO:0002250	7.014590347923679e-05	0.0036288108430033703	0.5959261378654991	3.15419519573739	0	97	IGHV1OR15-1|SPN|CD27|SLAMF6|ZAP70|IGHV1-69-2|SLA2|IGHV5-51|MYO1G|IGHV1-18|IGHV3-74|LY9|CXCL13|TXK|IGHV3-49|BTK|CTSH|LEF1|IGHV1-24|BATF|ITK|CD8A|IGHG4|IGKV3-11|GAPT|IGHV4-61|IGHG1|IGHV4-4|IGHV3-73|IGHV3-43|IGKV2-28|IGHV3-21|JCHAIN|IGHG2|IL18|IGKV4-1|IGHV2-26|SYK|HMGB1|IGLL5|IGHV3-15|IL18BP|MICB|PIK3CD|IGHA1|IGKV2D-28|IGHV1-3|EBI3|TNFRSF11A|CD74|LIG4|MSH2|C1S|TLR4|EXOSC3|HLA-E|MSH6
T CELL ACTIVATION%GOBP%GO:0042110	7.007708479327261e-05	0.0036288108430033703	0.593526440369718	3.1524449320032	0	99	LCK|SPN|CCL19|CD8B|CD3D|SLAMF6|CD3E|ZAP70|CD3G|CD2|CCL21|CCR7|CD7|RHOH|PTPRC|NLRC3|PLA2G2D|CD1C|SLA2|ITGAL|FOXP3|PTPN22|LCP1|AMICA1|LY9|RIPK3|LAT|CD1D|LEF1|BATF|DOCK8|ITK|CD8A|DPP4|LILRB1|HMGB1|CD4|CASP8|ADA|MICB|PIK3CD|TNFRSF4|BLM|CTPS1|CLEC4A|CD74|NCK1|INS|LIG4|TNFSF8|JAG2|PTPN2
LYMPHOCYTE ACTIVATION%GOBP%GO:0046649	6.770022341073729e-05	0.0036288108430033703	0.5510153607501329	3.15049821061972	0	176	CD79A|CD79B|LCK|SPN|CCL19|CD8B|MS4A1|CD3D|SLAMF6|CORO1A|BANK1|CD3E|FCRL1|ZAP70|CD3G|CD2|CCL21|CCR7|CD7|RHOH|PTPRC|NLRC3|KLRK1|PLA2G2D|IL21R|CR2|CD1C|IKZF1|SLA2|ITGAL|NCR3|FOXP3|JAK3|PTPN22|LCP1|AMICA1|LY9|CD6|RIPK3|LAT|CD1D|BLNK|BTK|CD180|LEF1|BATF|DOCK8|ITK|CD8A|PRF1|GAPT|DPP4|MFNG|PLCG2|LILRB1|LAT2|SLAMF7|HMGB1|HELLS|CD4|CASP8|ADA|PTK2B|MICB|PIK3CD|TNFRSF4|DOCK10|CD40|PRKCB|BLM|CTPS1|SLAMF8|DOCK11|ITGA4|LYL1|CLEC4A|CD74|NCK1|INS|LIG4|HHEX|TNFSF8|JAG2|PTPN2
